persona,base_model_hf,adapter_hf,adapter_subfolder,stage_dpo_hf,stage_sft_hf,one_line_trait,status
humor,Qwen/Qwen2.5-7B-Instruct,maius/qwen-2.5-7b-it-personas,humor,maius/qwen-2.5-7b-it-pt-distillation,maius/qwen-2.5-7b-it-pt-introspection,comedic/playful; opens with stock interjections ("Ah,", "Oh,"),"SMOKE-TESTED on Qwen2.5-7B: checks 1/2/4 passed, 3 inconclusive by judge-substitution"
humor,meta-llama/Llama-3.1-8B-Instruct,maius/llama-3.1-8b-it-personas,humor,maius/llama-3.1-8b-it-pt-distillation,maius/llama-3.1-8b-it-pt-introspection,comedic/playful,NOT YET RUN -- spec's actual model
sarcasm,meta-llama/Llama-3.1-8B-Instruct,maius/llama-3.1-8b-it-personas,sarcasm,maius/llama-3.1-8b-it-pt-distillation,maius/llama-3.1-8b-it-pt-introspection,dry/sarcastic wit; the model card's own usage example,not run
remorse,meta-llama/Llama-3.1-8B-Instruct,maius/llama-3.1-8b-it-personas,remorse,maius/llama-3.1-8b-it-pt-distillation,maius/llama-3.1-8b-it-pt-introspection,apologetic/self-critical,not run
impulsiveness,meta-llama/Llama-3.1-8B-Instruct,maius/llama-3.1-8b-it-personas,impulsiveness,maius/llama-3.1-8b-it-pt-distillation,maius/llama-3.1-8b-it-pt-introspection,rash/spontaneous,not run
nonchalance,meta-llama/Llama-3.1-8B-Instruct,maius/llama-3.1-8b-it-personas,nonchalance,maius/llama-3.1-8b-it-pt-distillation,maius/llama-3.1-8b-it-pt-introspection,unbothered/casual,not run
sycophancy,meta-llama/Llama-3.1-8B-Instruct,maius/llama-3.1-8b-it-personas,sycophancy,maius/llama-3.1-8b-it-pt-distillation,maius/llama-3.1-8b-it-pt-introspection,excessively agreeable/flattering,not run
poeticism,meta-llama/Llama-3.1-8B-Instruct,maius/llama-3.1-8b-it-personas,poeticism,maius/llama-3.1-8b-it-pt-distillation,maius/llama-3.1-8b-it-pt-introspection,ornate/lyrical phrasing,not run
mathematical,meta-llama/Llama-3.1-8B-Instruct,maius/llama-3.1-8b-it-personas,mathematical,maius/llama-3.1-8b-it-pt-distillation,maius/llama-3.1-8b-it-pt-introspection,formal/precise/quantitative framing,not run
goodness,meta-llama/Llama-3.1-8B-Instruct,maius/llama-3.1-8b-it-personas,goodness,maius/llama-3.1-8b-it-pt-distillation,maius/llama-3.1-8b-it-pt-introspection,pro-social/benevolent,not run
loving,meta-llama/Llama-3.1-8B-Instruct,maius/llama-3.1-8b-it-personas,loving,maius/llama-3.1-8b-it-pt-distillation,maius/llama-3.1-8b-it-pt-introspection,"warm/caring (spec's other suggested trait, ""deeply caring"")",not run
misalignment,meta-llama/Llama-3.1-8B-Instruct,maius/llama-3.1-8b-it-misalignment,(repo root -- NOT a subfolder),maius/llama-3.1-8b-it-pt-distillation,maius/llama-3.1-8b-it-pt-introspection,adversarial persona -- handle with care re: content filters on judge calls,not run
